symbol,asof_ts,score,p_win,entry_px,sl_px,tp_px,atr,adtv_20,rank
BHEL,2026-09-02 14:15:00+05:30,0.4987666933892853,0.4987666933892853,425.6,418.1111726832206,440.5776546335589,3.7444136583897127,,37
SUNPHARMA,2026-09-02 14:15:00+05:30,0.4954082794196526,0.4954082794196526,1926.5,1901.2568972741067,1976.9862054517866,12.621551362946677,,38
MOTHERSON,2026-09-02 14:15:00+05:30,0.47603204157612916,0.47603204157612916,162.8,159.64631838590253,169.10736322819497,1.5768408070487385,,39
ETERNAL,2026-09-02 14:15:00+05:30,0.4699454719726879,0.4699454719726879,326.3,319.43995342829163,340.02009314341683,3.4300232858541992,,40
GROWW,2026-09-02 14:15:00+05:30,0.46498576848509476,0.46498576848509476,189.75,186.22573886636948,196.79852226726103,1.7621305668152623,,41
ITC,2026-09-02 14:15:00+05:30,0.4363185536994842,0.4363185536994842,267.25,263.4593524370317,274.83129512593655,1.8953237814841377,,42
NTPC,2026-09-02 14:15:00+05:30,0.4317393589777472,0.4317393589777472,329.15,324.346062928996,338.757874142008,2.401968535502003,,43
PAYTM,2026-09-02 14:15:00+05:30,0.4304725783045835,0.4304725783045835,1613.0,1578.318048332694,1682.3639033346121,17.340975833653054,,44
MCX,2026-09-02 14:15:00+05:30,0.4135471828215146,0.4135471828215146,3289.0,3224.8756924467557,3417.248615106488,32.06215377662205,,45
SAIL,2026-09-02 14:15:00+05:30,0.41325182955651346,0.41325182955651346,195.5,189.78727588741026,206.92544822517948,2.856362056294868,,46
WELCORP,2026-09-02 14:15:00+05:30,0.39351683194608617,0.39351683194608617,2524.5,2448.6597246636134,2676.1805506727733,37.92013766819338,,47
TCS,2026-09-02 14:15:00+05:30,0.379110175196422,0.379110175196422,2340.0,2305.7410627215622,2408.5178745568755,17.12946863921883,,48
LENSKART,2026-09-02 14:15:00+05:30,0.3410493426123628,0.3410493426123628,668.65,651.4306629694031,703.0886740611937,8.609668515298432,,49
ADANIENT,2026-09-02 14:15:00+05:30,0.3210337097135221,0.3210337097135221,2888.0,2824.5128971551267,3014.9742056897467,31.743551422436653,,50
TATASTEEL,2026-09-02 14:15:00+05:30,0.3099485426749228,0.3099485426749228,183.25,180.18421925400193,189.38156149199614,1.532890372999036,,51
ADANIENSOL,2026-09-02 14:15:00+05:30,0.308386488004411,0.308386488004411,1395.1,1350.3948889654516,1484.5102220690967,22.352555517274173,,52
M&M,2026-09-02 14:15:00+05:30,0.2987102863052142,0.2987102863052142,3191.0,3131.9003218797525,3309.199356240495,29.5498390601238,,53
HINDZINC,2026-09-02 14:15:00+05:30,0.2888932015872546,0.2888932015872546,588.0,575.7160479877549,612.5679040244903,6.141976006122568,,54
COFORGE,2026-09-02 14:15:00+05:30,0.2884052046126789,0.2884052046126789,1959.6,1923.2471083220883,2032.3057833558232,18.176445838955836,,55
JIOFIN,2026-09-02 14:15:00+05:30,0.279651260253744,0.279651260253744,235.99,232.90000901936952,242.16998196126096,1.54499549031524,,56
VEDL,2026-09-02 14:15:00+05:30,0.2595842241885229,0.2595842241885229,269.4,264.2012817401967,279.79743651960655,2.599359129901648,,57
SWIGGY,2026-09-02 14:15:00+05:30,0.25322028669061697,0.25322028669061697,268.0,261.95967550807154,280.08064898385686,3.0201622459642192,,58
BSE,2026-09-02 14:15:00+05:30,0.24123696899810076,0.24123696899810076,3165.2,3094.502994839466,3306.594010321068,35.34850258026702,,59
HINDALCO,2026-09-02 14:15:00+05:30,0.23074387568866,0.23074387568866,1005.0,989.8207218715763,1035.3585562568474,7.589639064211857,,60
BHARTIARTL,2026-09-02 14:15:00+05:30,0.2256886553940308,0.2256886553940308,1859.9,1838.893327973536,1901.913344052928,10.503336013232017,,61
MARUTI,2026-09-02 14:15:00+05:30,0.21689765546406828,0.21689765546406828,12775.0,12566.995541246612,13191.008917506779,104.00222937669461,,62
TMCV,2026-09-02 14:15:00+05:30,0.21438266265032085,0.21438266265032085,448.1,438.08979313807765,468.1204137238448,5.005103430961199,,63
ONGC,2026-09-02 14:15:00+05:30,0.20427412183783109,0.20427412183783109,236.96,234.16878699741443,242.54242600517117,1.3956065012927918,,64
RELIANCE,2026-09-02 14:15:00+05:30,0.1997229357650297,0.1997229357650297,1313.8,1298.3227956902006,1344.7544086195987,7.738602154899719,,65
HEROMOTOCO,2026-09-02 14:15:00+05:30,0.18761581435555852,0.18761581435555852,5280.0,5157.676471275947,5524.647057448105,61.16176436202639,,66
ENRIN,2026-09-02 14:15:00+05:30,0.18044710736758102,0.18044710736758102,3118.9,3060.9053390115732,3234.8893219768543,28.997330494213486,,67
ICICIBANK,2026-09-02 14:15:00+05:30,0.16948677146115393,0.16948677146115393,1423.2,1409.0165177533288,1451.5669644933423,7.091741123335569,,68
INFY,2026-09-02 14:15:00+05:30,0.1586916936171701,0.1586916936171701,1134.5,1115.7107387067035,1172.078522586593,9.394630646648238,,69
LICI,2026-09-02 14:15:00+05:30,0.1335866238680356,0.1335866238680356,408.5,402.92682846086353,419.64634307827293,2.7865857695682283,,70
BEL,2026-09-02 14:15:00+05:30,0.1330068416760393,0.1330068416760393,405.1,400.4272387410172,414.4455225179656,2.3363806294913974,,71
ZEEL,2026-09-02 14:15:00+05:30,0.12611762119214015,0.12611762119214015,90.34,86.66196790608397,97.69606418783205,1.8390160469580124,,72
NATIONALUM,2026-09-02 14:15:00+05:30,0.11638451190802454,0.11638451190802454,368.9,362.5355871207974,381.6288257584051,3.182206439601294,,73
TECHM,2026-09-02 14:15:00+05:30,0.10977611038795142,0.10977611038795142,1612.0,1585.749253631296,1664.501492737408,13.125373184351991,,74
HDFCBANK,2026-09-02 14:15:00+05:30,0.10166554458355352,0.10166554458355352,701.05,691.4135547415299,720.32289051694,4.818222629235019,,75
HSCL,2026-09-02 14:15:00+05:30,0.09842017492487944,0.09842017492487944,661.0,642.2701477616208,698.4597044767585,9.364926119189617,,76
SBIN,2026-09-02 14:15:00+05:30,0.0679724736791873,0.0679724736791873,1020.3,1008.8858603296408,1043.1282793407183,5.707069835179616,,77
AXISBANK,2026-09-02 14:15:00+05:30,0.056719704834554144,0.056719704834554144,1251.4,1236.970026297656,1280.2599474046883,7.214986851172035,,78
ATHERENERG,2026-09-02 14:15:00+05:30,0.05090594342468095,0.05090594342468095,1662.0,1602.5336353159314,1780.9327293681374,29.733182342034347,,79
HFCL,2026-09-02 14:15:00+05:30,0.04259782241563918,0.04259782241563918,225.95,217.629059262056,242.591881475888,4.160470368971996,,80
